Census_Tract,FIPS ,CITYNAME,Service_Area,Male,Female,White,African_American,Native_ American,Asian,Pacific Islander,Other,Multi-Race,Latino,Total_Population,GEOID,Tract,Tract Number,Neighborhood,Location,Latitude,Longitude
111100,44000,Los Angeles city - Granada Hills,2,1549,1572,1165,111,3,487,3,10,77,1265,3121,1400000US06037111100,"Census Tract 1111, Los Angeles County, California",111100,Granada Hills,"(34.2683575, -118.4946735)",34.2683575,-118.4946735
111201,44000,Los Angeles city - Granada Hills,2,1713,1757,1667,95,5,527,4,21,97,1054,3470,1400000US06037111201,"Census Tract 1112.01, Los Angeles County, California",111201,Granada Hills,"(34.275029, -118.50855)",34.275028999999996,-118.50855
111202,44000,Los Angeles city - Granada Hills,2,2636,2804,2585,140,13,933,3,13,174,1579,5440,1400000US06037111202,"Census Tract 1112.02, Los Angeles County, California",111202,Granada Hills,"(34.2683485, -118.5151565)",34.2683485,-118.51515649999999
111204,44000,Los Angeles city - Porter Ranch,2,2941,3029,3387,239,5,1254,1,17,163,904,5970,1400000US06037111204,"Census Tract 1112.04, Los Angeles County, California",111204,Porter Ranch,"(34.2620495, -118.5490485)",34.262049499999996,-118.54904850000001
111205,44000,Los Angeles city - Northridge,2,1660,1895,1384,154,1,1220,1,12,128,655,3555,1400000US06037111205,"Census Tract 1112.05, Los Angeles County, California",111205,Northridge,"(34.253636, -118.5358265)",34.253636,-118.53582649999998
111206,44000,Los Angeles city - Porter Ranch,2,2250,2305,2479,152,7,776,0,33,119,989,4555,1400000US06037111206,"Census Tract 1112.06, Los Angeles County, California",111206,Porter Ranch,"(34.2676425, -118.5361955)",34.2676425,-118.5361955
111301,44000,Los Angeles city - Granada Hills,2,3669,3979,2713,383,6,1868,18,24,288,2348,7648,1400000US06037111301,"Census Tract 1113.01, Los Angeles County, California",111301,Granada Hills,"(34.2610855, -118.5158815)",34.2610855,-118.51588149999999
111302,44000,Los Angeles city - Northridge,2,2350,2567,2328,280,7,1006,14,17,158,1107,4917,1400000US06037111302,"Census Tract 1113.02, Los Angeles County, California",111302,Northridge,"(34.2539425, -118.512829)",34.2539425,-118.51282900000001
111400,44000,Los Angeles city - Granada Hills,2,2655,2926,2129,161,0,1186,13,26,124,1942,5581,1400000US06037111400,"Census Tract 1114, Los Angeles County, California",111400,Granada Hills,"(34.257483, -118.495412)",34.257483,-118.49541200000002
111400,44000,Los Angeles city - North Hills,2,1102,1233,950,86,5,511,0,0,20,763,2335,1400000US06037111400,"Census Tract 1114, Los Angeles County, California",111400,Granada Hills,"(34.257483, -118.495412)",34.257483,-118.49541200000002
113101,44000,Los Angeles city - Chatsworth,2,1710,1803,2057,110,13,454,1,5,117,756,3513,1400000US06037113101,"Census Tract 1131.01, Los Angeles County, California",113101,Chatsworth,"(34.265338, -118.5882575)",34.265338,-118.5882575
113102,44000,Los Angeles city - Chatsworth,2,1357,1454,1840,97,1,409,3,14,79,368,2811,1400000US06037113102,"Census Tract 1131.02, Los Angeles County, California",113102,Chatsworth,"(34.265325, -118.568068)",34.265325,-118.568068
113211,44000,Los Angeles city - Chatsworth,2,1805,2011,2573,105,6,478,6,10,136,502,3816,1400000US06037113211,"Census Tract 1132.11, Los Angeles County, California",113211,Chatsworth,"(34.2635755, -118.611966)",34.2635755,-118.611966
113212,44000,Los Angeles city - Chatsworth,2,1528,1621,1568,156,7,543,19,2,98,756,3149,1400000US06037113212,"Census Tract 1132.12, Los Angeles County, California",113212,Chatsworth,"(34.2608605, -118.6035245)",34.2608605,-118.6035245
113213,44000,Los Angeles city - Chatsworth,2,2218,2294,2045,191,13,979,13,7,162,1102,4512,1400000US06037113213,"Census Tract 1132.13, Los Angeles County, California",113213,Chatsworth,"(34.2535965, -118.608218)",34.2535965,-118.608218
113231,44000,Los Angeles city - West Hills,2,1092,1049,1473,80,2,229,0,6,101,250,2141,1400000US06037113231,"Census Tract 1132.31, Los Angeles County, California",113231,Chatsworth Reservoir,"(34.2282065, -118.645614)",34.2282065,-118.645614
113231,99037,Unincorporated County - West Chatsworth,2,8,4,12,0,0,0,0,0,0,0,12,1400000US06037113231,"Census Tract 1132.31, Los Angeles County, California",113231,Chatsworth Reservoir,"(34.2282065, -118.645614)",34.2282065,-118.645614
